Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Burkina Faso,Africa,13635,65.23,36,0.17,3,170,0.81,1,0,0
Congo,Africa,13356,242.04,140,2.54,63,179,3.24,1,0.02,0
Aruba,Americas,12636,11835.23,759,710.9,107,111,103.97,0,0,0
Timor-Leste,South-East Asia,11870,900.3,645,48.92,0,29,2.2,3,0.23,0
Djibouti,Eastern Mediterranean,11669,1181.07,13,1.32,6,156,15.79,0,0,0
Central African Republic,Africa,11174,231.36,0,0,0,98,2.03,0,0,0
South Sudan,Africa,11143,99.55,53,0.47,2,120,1.07,0,0,0
Burundi,Africa,9408,79.12,1477,12.42,233,10,0.08,0,0,0
Lao People's Democratic Republic,Western Pacific,9161,125.91,1856,25.51,285,8,0.11,1,0.01,0
Iceland,Europe,9126,2506.22,773,212.28,0,30,8.24,0,0,0
Benin,Africa,9065,74.77,457,3.77,0,113,0.93,3,0.02,0
Equatorial Guinea,Africa,8951,638,23,1.64,0,123,8.77,0,0,0
Gambia,Africa,8920,369.1,528,21.85,0,251,10.39,16,0.66,0
Jersey,Europe,8704,8074.51,230,213.37,29,73,67.72,2,1.86,0
Guam,Western Pacific,8510,5042.22,169,100.13,37,143,84.73,0,0,0
Nicaragua,Americas,8193,123.68,303,4.57,0,197,2.97,1,0.02,0
Yemen,Eastern Mediterranean,7213,24.18,117,0.39,15,1392,4.67,12,0.04,1
Eritrea,Africa,6593,185.91,25,0.7,4,36,1.02,1,0.03,0
Sierra Leone,Africa,6324,79.28,32,0.4,6,121,1.52,1,0.01,0
Saint Lucia,Americas,5949,3239.72,297,161.74,36,94,51.19,5,2.72,2
Niger,Africa,5711,23.59,48,0.2,14,196,0.81,0,0,0
Isle of Man,Europe,5658,6653.97,898,1056.07,71,29,34.1,0,0,0
Liberia,Africa,5482,108.39,21,0.42,0,221,4.37,1,0.02,0
Mauritius,Africa,5349,420.6,757,59.52,130,21,1.65,1,0.08,0
San Marino,Europe,5217,15372.15,38,111.97,7,90,265.19,0,0,0
Gibraltar,Europe,5171,15348.31,140,415.54,35,95,281.97,1,2.97,0
United States Virgin Islands,Americas,5066,4851.33,375,359.11,33,41,39.26,2,1.92,1
Chad,Africa,4981,30.32,7,0.04,0,174,1.06,0,0,0
Guinea-Bissau,Africa,4901,249.03,272,13.82,37,83,4.22,4,0.2,3
Barbados,Americas,4485,1560.68,63,21.92,5,48,16.7,0,0,0
Comoros,Africa,4031,463.55,2,0.23,0,147,16.9,0,0,0
Liechtenstein,Europe,3224,8320.64,27,69.68,0,58,149.69,0,0,0
Sint Maarten,Americas,3045,7100.88,221,515.37,44,38,88.62,4,9.33,1
Monaco,Europe,3035,7733.67,95,242.08,14,33,84.09,0,0,0
Saint Martin,Americas,2872,7429.06,165,426.81,0,33,85.36,3,7.76,0
Bermuda,Americas,2645,4247.43,56,89.93,31,33,52.99,0,0,0
New Zealand,Western Pacific,2557,53.03,35,0.73,9,26,0.54,0,0,0
Bhutan,South-East Asia,2553,330.87,10,1.3,2,2,0.26,0,0,0
British Virgin Islands,Americas,2532,8373.85,32,105.83,0,37,122.37,6,19.84,0
Turks and Caicos Islands,Americas,2531,6537.01,45,116.23,8,18,46.49,0,0,0
Sao Tome and Principe,Africa,2478,1130.69,15,6.84,2,37,16.88,0,0,0
Saint Vincent and the Grenadines,Americas,2306,2078.6,9,8.11,0,12,10.82,0,0,0
Bonaire,Americas,1703,8142.48,17,81.28,4,17,81.28,0,0,0
Saint Barthélemy,Americas,1453,14699.04,118,1193.73,0,1,10.12,0,0,0
United Republic of Tanzania,Africa,1367,2.29,350,0.59,0,50,0.08,29,0.05,0
Antigua and Barbuda,Americas,1348,1376.51,37,37.78,0,43,43.91,0,0,0
Guernsey,Europe,1032,1600.79,63,97.72,20,18,27.92,0,0,0
Faroe Islands,Europe,987,2019.85,0,0,0,2,4.09,0,0,0
Other,Other,764,,0,,0,13,,0,,0
Cayman Islands,Americas,648,986,4,6.09,0,2,3.04,0,0,0
Saint Kitts and Nevis,Americas,625,1174.99,25,47,5,3,5.64,0,0,0
Brunei Darussalam,Western Pacific,494,112.92,155,35.43,54,3,0.69,0,0,0
Wallis and Futuna,Western Pacific,454,4036.99,0,0,0,7,62.24,0,0,0
Dominica,Americas,412,572.29,194,269.48,0,0,0,0,0,0
Northern Mariana Islands (Commonwealth of the),Western Pacific,211,366.59,13,22.59,1,2,3.47,0,0,0
Greenland,Europe,201,354.05,66,116.25,14,0,0,0,0,0
Grenada,Americas,180,159.97,11,9.78,0,1,0.89,0,0,0
New Caledonia,Western Pacific,134,46.94,0,0,0,0,0,0,0,0
Anguilla,Americas,114,759.9,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas),Americas,64,1837.5,1,28.71,0,0,0,0,0,0
Saint Pierre and Miquelon,Americas,30,517.69,2,34.51,0,0,0,0,0,0
Holy See,Europe,26,3213.84,0,0,0,0,0,0,0,0
Sint Eustatius,Americas,23,732.72,3,95.57,1,0,0,0,0,0
Montserrat,Americas,22,440.09,1,20,0,1,20,0,0,0
Solomon Islands,Western Pacific,20,2.91,0,0,0,0,0,0,0,0
Saba,Americas,8,413.86,0,0,0,0,0,0,0,0
Marshall Islands,Western Pacific,4,6.76,0,0,0,0,0,0,0,0
Vanuatu,Western Pacific,3,0.98,0,0,0,0,0,0,0,0
Samoa,Western Pacific,1,0.5,0,0,0,0,0,0,0,0
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,0,0
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,0,0
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,0,0
Nauru,Western Pacific,0,0,0,0,0,0,0,0,0,0
Niue,Western Pacific,0,0,0,0,0,0,0,0,0,0
Palau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,0,0
Saint Helena,Africa,0,0,0,0,0,0,0,0,0,0
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,0,0
Tonga,Western Pacific,0,0,0,0,0,0,0,0,0,0
Turkmenistan,Europe,0,0,0,0,0,0,0,0,0,0
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,0,0
